*
POSN mm 	LOAD kn	STRAIN1 %	STRAIN2 %	STRESS(MPA)	TIME(sec)
-4.729645	21.738540	-1.723129	4.826405	290.861372	199.500000
-4.723825	21.759383	-1.723503	4.847558	291.140251	200.000000
-4.719064	21.776057	-1.723316	4.867577	291.363355	200.500000
-4.714302	21.767720	-1.723129	4.887596	291.251803	201.000000
-4.708482	21.792731	-1.723129	4.906105	291.586458	201.500000
-4.704249	21.792731	-1.723316	4.927257	291.586458	202.000000
-4.698958	21.792731	-1.723316	4.948032	291.586458	202.500000
-4.693667	21.792731	-1.723503	4.967674	291.586458	203.000000
-4.688376	21.811490	-1.723129	4.988826	291.837449	203.500000
-4.683085	21.811490	-1.723503	5.009223	291.837449	204.000000
-4.678852	21.815659	-1.723316	5.029998	291.893225	204.500000
-4.673562	21.826080	-1.722942	5.050395	292.032664	205.000000
-4.668271	21.817743	-1.723129	5.070792	291.921113	205.500000
-4.662980	21.842755	-1.723129	5.092322	292.255768	206.000000
-4.657689	21.853176	-1.723129	5.113097	292.395207	206.500000
-4.653456	21.846923	-1.723129	5.134249	292.311543	207.000000
-4.648165	21.861513	-1.723316	5.155780	292.506759	207.500000
-4.642874	21.826080	-1.723129	5.175421	292.032664	208.000000
-4.638641	21.865682	-1.723129	5.197329	292.562535	208.500000
-4.633350	21.882356	-1.723316	5.218482	292.785638	209.000000
-4.627530	21.880272	-1.723129	5.241145	292.757750	209.500000
-4.623827	21.886525	-1.723316	5.261542	292.841414	210.000000
-4.618536	21.888609	-1.723129	5.282694	292.869302	210.500000
-4.613245	21.894862	-1.723316	5.304602	292.952965	211.000000
-4.609012	21.909452	-1.723316	5.324999	293.148181	211.500000
-4.603721	21.917789	-1.723129	5.348418	293.259732	212.000000
-4.598430	21.917789	-1.723316	5.368437	293.259732	212.500000
-4.592081	21.917789	-1.722942	5.389212	293.259732	213.000000
-4.588907	21.926127	-1.723129	5.410365	293.371284	213.500000
-4.583616	21.921958	-1.723316	5.433028	293.315508	214.000000
